"Date","Time","Open","High","Low","Close","Up","Down","CV","ZeroLine","Zero Cross","UpperBand","LowerBand","MidLine","VolROC","ZeroLine"
02/22/2021,18:46,233.10,233.20,232.99,233.14,58219,61103,-5.23,0.00,0.00,234.62,232.89,233.75,29.15,0.00
02/22/2021,18:47,233.14,233.20,232.92,232.95,49423,46612,-3.44,0.00,0.00,234.44,232.88,233.66,108.46,0.00
02/22/2021,18:48,232.96,233.05,232.90,233.00,43051,34278,-3.79,0.00,0.00,234.30,232.86,233.58,161.87,0.00
02/22/2021,18:49,232.99,233.05,232.93,233.01,28046,30931,-21.19,0.00,0.00,234.18,232.85,233.51,-32.51,0.00
02/22/2021,18:50,233.03,233.04,232.88,233.00,30774,37951,-22.17,0.00,0.00,234.08,232.83,233.46,40.05,0.00
02/22/2021,18:51,233.01,233.46,232.96,233.39,66655,32938,8.75,0.00,0.00,234.01,232.84,233.43,66.87,0.00
02/22/2021,18:52,233.38,233.45,233.27,233.27,18664,17897,12.07,0.00,0.00,233.98,232.83,233.41,-29.15,0.00
02/22/2021,18:53,233.26,233.34,233.20,233.24,13750,22999,2.98,0.00,0.00,233.94,232.83,233.38,-25.09,0.00
02/22/2021,18:54,233.23,233.28,233.08,233.08,33858,37674,-7.86,0.00,0.00,233.91,232.80,233.35,94.29,0.00
02/22/2021,18:55,233.08,233.09,232.83,232.85,23761,37333,-2.60,0.00,0.00,233.91,232.73,233.32,-7.32,0.00
02/22/2021,18:56,232.84,232.86,232.64,232.65,63313,63456,-1.36,0.00,0.00,233.89,232.64,233.26,46.97,0.00
02/22/2021,18:57,232.63,232.79,232.57,232.74,37727,29482,-5.69,0.00,0.00,233.85,232.58,233.22,-49.67,0.00
02/22/2021,18:58,232.74,232.88,232.64,232.84,38204,28517,2.44,0.00,0.00,233.79,232.56,233.17,-50.76,0.00
02/22/2021,18:59,232.84,232.87,232.54,232.62,34301,42937,21.06,0.00,0.00,233.70,232.53,233.12,-33.10,0.00
02/22/2021,19:00,232.61,232.82,232.61,232.73,33263,18590,22.58,0.00,0.00,233.63,232.51,233.07,-56.54,0.00
02/22/2021,19:01,232.75,232.78,232.60,232.62,33081,24250,-8.89,0.00,0.00,233.55,232.49,233.02,-40.30,0.00
02/22/2021,19:02,232.63,232.63,232.41,232.58,37854,61377,-4.60,0.00,0.00,233.48,232.46,232.97,28.32,0.00
02/22/2021,19:03,232.62,232.70,232.56,232.58,30879,29224,-4.07,0.00,0.00,233.42,232.44,232.93,1.91,0.00
02/22/2021,19:04,232.58,232.70,232.46,232.69,43876,24468,-0.02,0.00,0.00,233.39,232.42,232.90,-0.55,0.00
02/22/2021,19:05,232.70,232.74,232.51,232.68,29858,21129,-2.45,0.00,0.00,233.37,232.40,232.88,-48.80,0.00
02/22/2021,19:06,232.65,232.76,232.58,232.76,22540,15643,-5.27,0.00,0.00,233.34,232.39,232.86,4.44,0.00
